"","matches","treat","s","FIPS","pop","adult_w_a_cnt","white_race","black_race","latino","male","mortAC_20_34","mortAC_35_44","mortAC_45_54","mortAC_55_64","mortAC_20_64","mortACWhite_M","mortACWhite_F","mortACBlack_M","mortACBlack_F","mortACother_M","mortACother_F","mortHC_amenable_not_flu","mortOpioid","mortFlu","a20_34","a35_44","a45_54","a55_64","pctUrban_2010","medIncome_2013","pctPovty_2013","unplmtRate_2013","popDens_2010","smk_tot_2012","pctRep_2012","avgPM25_2011","vetPop_2013","snap_2013","pctNoIns_2013","alc_2012","diabetes_2012","hyper_male_2009","hyper_female_2009","obsty_male_2011","obsty_female_2011","phys_act_male_2011","phys_act_female_2011","calc_multi_house","mdcdExp2","pscore2","mort_all_cause_l1o","mort_all_cause_l2o","mort_dmf","mort_wndr","mort_all_cause_l2","mort_all_cause_l1","mort_wht_wndr","pop.white","mort_hca_wndr","stateName","cntyName"
"1","1.1012",1,0,"17199",39277,39326.8,94.7688685041961,3.8444614463706,1.71411129038013,48.9667365683682,91.7942585143346,221.835118748511,520.256820207656,1085.35751402898,442.954931497096,460.420267137031,280.864034470423,473.587379301564,281.384974347679,257.456755063688,131.397433114272,223.866224794054,27.8869269399404,6.51275695906369,25.0528226941358,16.8057433035095,18.9004158424476,17.19026873174,65.2,44041,16.2,8.9,157.9,22.64,62.72,0.1319,8.61424899886438,19.4519156057618,15.9,7.6,13.61,37.93,39.27,38.04,37.31,58.15,49.36,0.0104403594466609,1,1.51814715328752,164,179,168,146,145,139,142,39101,87,"Illinois","Williamson"
"2","1.1012",1,0,"19061",55473,54573.2,96.2976988899167,2.14124653098982,1.49254162812211,48.769368640148,70.091174762373,121.729854649192,328.480097813767,709.258710918063,284.755154544722,288.161789254134,174.91678735482,728.617045233633,420.243213145285,116.78447903311,133.913847183753,152.165909237229,9.45576983463631,3.9802387516993,26.4358811285846,15.59638066605,19.5472941720629,17.3016882516189,73,51907,12.8,4.5,154,18.75,42.52,0.1161,7.09217634826588,11.5970197602851,9.8,13.6,12.03,34.88,37.01,33.92,34.7,59.14,54.74,0.00347909864582776,1,1.55496521433365,173,152,174,146,124,147,135,57754,91,"Iowa","Dubuque"
"3","1.1012",1,0,"26049",241245,246786.6,78.7690606019697,19.3983955213903,2.45621792526477,47.0634884920627,165.636174063385,249.189712781387,569.656162627743,1109.00562915912,493.705898132232,463.56083389099,280.720655831119,836.305837640483,461.4975094743,272.463201665972,177.914574862628,248.456149442959,32.3814187263873,4.05961484767777,24.7670271232668,17.5130255463099,20.5476566407949,17.6461994883042,83.2,41393,21.7,9.7,668.5,26.15,35.76,0.1218,7.25559493085783,24.2228727706945,14.6,8.6,15.85,40.37,42.07,41.1,46.23,54.04,44.49,0.00205228497787758,1,1.60149042053689,1275,1189,1273,1067,1027,1093,709,198830,637,"Michigan","Genesee"
"4","1.1012",1,0,"27147",20657,20743,96.8936258119802,2.02067345580303,4.65497058125923,49.0118516591558,57.2308998430784,139.057820169156,283.510062846253,540.359133496027,238.152629802825,263.212407358969,142.695999817158,189.151330181471,0,335.560404231531,0,118.932998071517,13.7789141270117,3.2284441941655,24.0751650739485,17.5953909364264,20.553332466201,17.1301999250186,69.4,53932,10.7,4.6,85.1,19.57,53.22,0.1242,7.41807212395448,11.260112436583,8.4,9.6,11.51,33.86,36.01,36.41,35.19,56.81,53.42,0.0160234081092378,1,1.5173723414982,50,57,58,48,51,46,41,20483,26,"Minnesota","Steele"
"5","1.1012",0,0,"42077",209911,207362.6,89.0898214720398,6.95613244963951,15.6096972880244,47.6095805679507,92.8910643608771,162.709493516087,341.382878939653,758.317703593314,311.435138255404,349.139360522618,198.157740209148,354.105573931986,224.728848874027,121.39957105012,65.3754335331346,148.864320252367,25.2681095083884,3.75615344052156,25.0942015463874,17.5045555384059,20.2907865627551,16.7268312573286,92.1,53722,14.2,7.8,1012.6,21.45,46.07,0.1188,6.80668671780834,14.1374629673437,15.8,6.5,13.48,35.68,37.38,34.32,37.3,56.36,51.4,0.00277592299439564,1,1.5278372865412,683,683,703,600,598,590,433,159987,325,"Pennsylvania","Lehigh"
"6","1.1012",1,0,"44003",101254,101811.8,95.6619257378926,1.77489298690956,2.62975337215669,47.1423771838137,98.2486899697979,154.211329370366,405.335617795138,802.289480799244,355.165118385099,386.751369671192,198.865660827837,372.921217189332,247.304466390423,219.962702290448,78.5557445155081,162.582551391001,35.2251903565889,2.6209507235617,22.2979194664278,17.1723346274451,21.5874023194465,18.1225424319347,92,63232,8.1,8.9,985.9,20.73,40.93,0.1027,8.24249401642076,12.2058957190899,12.1,9.5,12.01,36.29,36.99,33.77,33.43,54.53,51.21,0.0039198606271777,1,1.53658830133348,377,370,328,265,297,302,244,100354,145,"Rhode Island","Kent"
"7","1.1012",1,1,"55135",29822,29921.2,98.7562604763279,0.323595095939109,1.82914786624736,50.0346889891578,90.6743747590312,150.589074280624,370.557090310992,911.204333755571,380.332339612048,365.833347382066,210.012233772989,433.315498976313,0,318.528144024727,246.719126323658,171.65732713479,14.2228694663009,5.72519654060702,20.1084727223007,15.8698327332391,21.4534939661415,18.3299657161377,35.1,48056,12.3,7.2,70.1,23.22,54.74,0.1138,10.0774600745912,11.4755666061012,12.8,10.9,12.48,35.45,38.47,36.54,36.8,55.94,56.35,0.00935103796521414,1,1.58500898814037,99,130,112,84,103,76,82,31559,49,"Wisconsin","Waupaca"
"8","1.1043",1,1,"19037",6685,6759,99.3777524594115,0.289213645625644,1.64106833767884,49.725027935409,21.899888791969,154.341828657326,242.842189884147,673.150112741007,278.147654978547,254.597182102812,143.207431919372,0,958.857284432416,0,0,120.251405916977,17.2233483373176,7.97864277117824,19.8812471242961,14.1605135733222,20.8058543853115,19.1976512346355,26.5,50342,10.6,4.7,24.7,22.7,44.38,0.117,7.61301842382924,9.21191461732002,12.8,11.2,12.34,36.29,39.12,36.5,35.48,56.47,51.76,0.0279642058165548,1,0.402008849321229,15,21,13,13,16,NA,13,7206,NA,"Iowa","Chickasaw"
"9","1.1043",0,0,"29053",10413,10460,91.2221768275152,7.75492910859927,1.04559141737407,52.4687154811082,71.1743631116416,266.234929920358,400.65110170281,1070.40623979406,401.529636711281,394.45628952802,274.465261580231,637.561431252419,595.097036507384,0,0,222.805827471808,20.4529198031882,6.76450147991199,27.6438633921951,15.3933451359571,19.288210994598,16.8126863074432,46.8,44397,15.5,6.3,31.2,27.35,66.39,0.0981,7.20802402674676,13.8267127557092,18.1,8.4,14.19,38.27,40.77,37.62,38.62,55.65,48.87,0.031973203410475,0,-0.0847847559403577,44,43,40,32,38,39,28,10122,14,"Missouri","Cooper"
"10","1.1092",1,0,"19127",22505,22654.6,95.5595569749269,1.84344635455596,12.5623428687912,49.7438336617517,106.556695748635,208.255563990078,452.774408545008,969.717004112461,419.340884411996,447.53897914742,215.352433560411,631.421438888222,363.505224607916,533.524308914013,247.956201412126,199.998906290321,14.6665058676107,6.50874490248125,24.1469049398655,15.3339675205545,19.070462730176,18.4161174152341,66.1,51382,13.4,5.9,71,22.35,45.23,0.1084,9.49407230326389,17.3561984680685,15.3,9.5,13.55,35.32,37.62,38.83,39.66,51.2,50.25,0.0254071661237785,1,0.548237246916402,87,101,90,71,79,73,56,18829,43,"Iowa","Marshall"
"11","1.1092",0,0,"23019",93914,94941.2,97.000074595489,0.739343017184088,0.865985813294272,48.5743784839484,91.81910150528,193.548990228901,407.19932801369,886.766821516586,365.700033283759,390.657162993068,226.428407143097,559.245063119398,466.125690784059,311.899314057846,235.213063655634,180.368087327334,18.5798415415844,3.08743120888729,26.944907840664,15.6496249881325,20.0855135560348,17.7993313531622,42.3,43615,15.9,7,45.3,22.99,48.5,0.1015,9.58960381836676,18.8577501890926,16.9,9,13.03,35.82,38.81,36.27,39.56,54.29,56.01,0.00319447993866599,1,0.528287547650704,348,382,326,265,328,301,253,99250,150,"Maine","Penobscot"
"12","1.1169",1,1,"21053",5812,5867.8,98.7866185876346,0.431658463401153,1.90298212828679,49.2774984865633,227.840595751058,281.550683416077,696.564022422877,1382.63549497979,637.376870377313,631.378758707519,397.794872808986,806.311807363623,0,1134.90798108883,0,286.034069595774,87.0918619245992,17.9294509532538,21.8882425709999,16.8399442002474,20.0431658463401,18.4507672465981,0,27443,27.6,9.6,52.1,33.46,82.6,0.1354,7.10624876798738,27.705499704317,25.3,5.7,16.12,40.82,44.33,42.12,46.73,36.07,33.69,0.146464646464646,1,-1.42350100744846,35,48,47,39,38,29,39,6210,22,"Kentucky","Clinton"
"13","1.1169",0,0,"47027",4206,4395,97.9051709895919,1.58268627127044,1.47695357673881,49.446555427061,231.840452689999,402.475865249286,977.639566989254,1388.67333071872,769.05574516496,821.402818160708,421.613901989057,471.769425792572,1036.75032837073,0,0,346.584676255916,71.8628021635066,30.1283721794881,18.5527837435982,15.6087890302329,19.6266314224352,18.8204196266314,0,30587,24.8,10.8,33.2,25.65,62.75,0.1378,8.81142269102135,28.0679187033702,23,5.7,15.88,41.6,42.86,41.69,45.11,41.64,37.31,0.103626943005181,0,-1.43529375002115,29,38,32,26,32,21,25,4403,16,"Tennessee","Clay"
"14","1.1176",1,0,"05033",35354,35698.4,94.5360107046634,1.36158978717249,4.93056434551471,48.6302732220675,181.435416493213,265.355961109676,557.460375983128,1202.521288987,511.507518544248,563.204055054957,331.035422380076,477.630426652734,747.584398407585,369.868237685778,161.023022854792,265.96151641661,40.2047419297429,4.98682308137281,25.1740411912554,18.0487496157532,20.3528741659584,17.1125436233116,48,39384,19.2,7.8,104.5,29.17,75.63,0.1115,9.26184295911746,16.9873458792992,26.3,6.1,15.13,40.61,42.07,37.45,38.51,49.17,46.09,0.0235364601163985,1,-1.49591423145497,170,181,156,133,158,145,127,34551,86,"Arkansas","Crawford"
"15","1.1176",0,0,"29107",18457,18763.4,96.4222603950061,2.50597933738257,1.79092455761122,48.5604385669316,65.9934082813108,193.609068910068,440.140078549548,1032.27808723168,412.505196286387,387.872311023214,252.110005274428,883.088673757922,473.703781670088,0,306.731886780764,211.264251827061,16.7475983641309,9.7027764770118,22.430528729586,16.526806335221,20.7291914949576,17.4218576630037,43.1,46878,12.7,6.6,53.1,26.54,63.42,0.0922,9.05806999969645,12.5701970069514,17.8,7.6,14.24,37.19,40.12,37,38.9,52.16,48.66,0.0198216055500496,0,-1.59334151087687,84,81,90,67,66,65,61,19366,45,"Missouri","Lafayette"
"16","1.1176",0,0,"29119",13058,13066.2,93.2154312744156,1.11079215705852,8.3758720966514,50.0043682837637,188.042961993143,236.224122688651,708.729157656808,1282.6922069926,561.754756547428,612.993340496887,372.625624639846,118.654580347824,582.004092866065,170.852804446122,302.20796696479,301.299379638067,23.0596022747255,11.6730734879504,25.2074934787764,18.3804899966302,20.9640178225978,16.986383435468,0,35915,20.7,6.3,42.8,29.81,74.78,0.1007,7.07066229275645,18.326092738718,27.7,7.8,15.72,39.68,42.18,37.55,42.09,49.11,46.56,0.0547378664396059,0,-1.57644842475661,83,74,82,72,64,69,61,12020,48,"Missouri","McDonald"
"17","1.1176",0,0,"29161",26523,26829.8,93.2079004590481,2.38161391640493,1.70935008456149,51.3294273979222,133.034186140019,263.161480723063,571.36445454353,982.015909804967,412.228194023064,512.109156146525,293.872834471075,372.493226721019,223.894851884248,159.037744173646,112.575870608318,241.311039954344,35.8322602697335,8.34713970409109,33.5884271563179,14.2600869775308,17.9113312394298,15.2675767093501,53.8,38930,16.4,5.9,67.2,24.27,67.23,0.1022,10.248398687705,13.9710313120718,21,8,13.94,37.37,39.9,35.92,37.53,54.05,53.98,0.0173663093598419,0,-1.64559060339178,112,118,118,122,122,113,113,27132,74,"Missouri","Phelps"
"18","1.1176",0,0,"29195",13219,13318,92.5691736630719,5.50930316975211,6.72708750483015,48.6668774370324,82.2799909860477,161.953044628634,508.35124721093,964.561631934319,393.452470340892,399.362624038038,259.71249629201,255.731003506194,481.079508841002,192.432265783812,416.914741666723,210.42096194684,28.2908891121169,10.9090802411614,26.95284598541,15.1906886336226,18.7210922588728,17.1086989613705,54.2,38230,18.4,5.5,30.9,27.76,57.39,0.0958,6.93273696886289,15.5126440736281,20.5,7.7,15.03,37.34,39.85,38.62,41.7,48.76,46.34,0.023961661341853,0,-1.43087163371987,57,52,56,50,45,54,43,12223,34,"Missouri","Saline"
"19","1.1176",0,0,"37109",47891,47630.6,93.311446541739,5.66781447190152,5.55383024540736,48.8965030048836,106.430013314705,210.205077338082,460.371478509995,857.14328903843,394.284346617511,395.46742648023,250.272841277466,398.434519690864,402.40338374904,387.178846206942,0,187.064718610382,30.2909004392392,4.66791064941784,21.4399552253577,19.9581602809336,21.7249157915932,18.1514761639871,45.4,50537,14.6,8.3,262.7,22.87,69.62,0.1278,7.88061198896413,13.3082518184098,22.5,6.8,14.66,39.96,42.39,33.3,35.1,55.63,47.9,0.012669200506768,0,-1.35731698659965,186,193,187,152,161,156,132,45407,85,"North Carolina","Lincoln"
"20","1.1176",0,0,"45091",145852,138555.8,78.9412301057009,18.4378361949605,3.77467037817863,47.2840271512859,95.2432293726903,163.842218758127,430.841000079799,959.325834091101,368.082750776222,381.292942469203,212.840857589872,582.811549843256,324.229216968422,172.713751725303,116.99472541466,192.6671106991,21.4992973406631,3.97165434333057,25.7899827771694,20.309793856708,20.771240285021,16.6837126054717,77,54927,12.7,8.9,332.2,21.4,60.34,0.1266,8.52846931229973,13.9942263424172,19.6,7.1,14.72,40.08,41.79,34.59,36.85,60.96,51.28,0.00450955679150816,0,-1.34701562280905,566,501,532,456,435,490,325,117674,264,"South Carolina","York"
"21","1.1176",0,0,"48039",202667,191983.8,80.4290335212612,12.7722138480162,24.4852545430813,50.4794754468876,102.43894877351,143.138580282449,372.880053961397,896.014025783419,321.69380958185,376.439617994563,238.589354465141,319.423900934517,255.733000950686,95.1027713853755,56.1939144989767,177.081119557102,17.7783492134201,4.08273845998316,28.1073817582972,21.3800631909838,20.835859005788,15.4976155863941,77.5,66337,11.8,6.6,230.7,18.08,67.31,0.0885,7.76188370952211,9.35344383815505,24.6,7.2,14.96,37.31,40.73,33.91,35.92,58.61,53.42,0.00473462870299024,0,-1.46879628529173,678,618,644,597,563,615,361,113397,348,"Texas","Brazoria"
"22","1.598",0,1,"18075",11686,11787.8,99.0966480889617,0.323569032462558,2.06159697826144,48.4759238226049,130.877256087057,189.917564756129,603.245189200922,1078.48876638983,476.76411204805,499.713024402191,286.756986893366,1087.97074618617,0,0,680.225683700917,257.990975189078,26.8899386491228,8.89792800668079,23.1041496077551,17.507065691117,19.7179006312898,17.5110277609023,44.3,41847,16,6.9,55.4,29.29,60.26,0.1348,8.36849507735584,13.5583684950774,20.1,7.5,15.05,38.42,42.83,40.97,40.63,48.49,43.21,0.0330113705832009,1,-0.14838426289969,66,54,58,53,46,57,51,12663,37,"Indiana","Jay"
"23","1.598",1,1,"39107",22684,22644.4,98.7064970374388,0.400958455486059,1.15000926873142,49.5053243712711,104.462082456995,161.478377689893,316.052702244149,784.566808175798,333.857377541467,325.377234714382,209.764432899608,198.199550413405,584.994087982789,0,0,170.797104040112,9.8038423713404,11.2066520955082,22.9761553302071,15.8392321370948,20.3287310076827,18.5910155096772,38.6,55110,9.4,4.5,88.3,22.58,77.73,0.1347,6.67663789721459,6.97577481365241,14,13,13.66,36.79,39.35,36.51,36.18,54.25,49.56,0.0145101255441297,1,-0.0236138513944451,83,94,93,74,78,68,73,24613,54,"Ohio","Mercer"
"24","1.93",1,0,"24005",494801,490228.8,68.9658512386526,25.1530277338021,3.71432161576868,46.1785115226464,102.987501028175,187.696225689243,401.822129924253,817.269200460954,344.655393563169,386.839198553635,219.689617871823,439.833046768471,253.913243548363,155.895085103789,93.662563274604,179.142782349527,27.4786427462693,5.15732712165186,26.9595174317126,16.7200264923026,19.5216463971319,17.0068737315861,93.5,64624,9.5,6.9,1345.5,19.25,41.28,0.1259,7.2211320571314,13.2659793563908,13.7,8.1,13.31,36.82,38.61,33.75,36,54.89,50.04,0.00130609852442723,1,0.398641909746944,1592,1721,1697,1469,1504,1388,921,325578,893,"Maryland","Baltimore"
"25","1.93",0,0,"42133",261160,260906.6,92.8021377054194,5.50049755660862,4.50889867971782,48.6090610792354,106.491243234408,145.237620836146,373.334908069885,762.159288203709,328.776658007118,348.73485083218,192.874887113339,497.409661526209,277.392482185543,110.135000790472,94.1888786863911,162.719063926155,21.9164225923945,2.48220458341981,23.6010767445617,18.1376955545444,21.0740194065574,17.6183130426419,75.3,56963,10.8,7,481.1,20.78,60.75,0.126,8.53120408233003,11.9761256592211,13.3,6.7,13.57,38.16,38.16,39.31,38.7,54.9,53.53,0.00190939901665951,1,0.363092446442488,871,823,916,779,681,730,669,248026,414,"Pennsylvania","York"
"26","1.995",1,0,"17163",158490,160028.2,69.7299952825486,28.2325590477943,2.80662663170888,47.072045451976,146.258240868344,236.811698722151,486.162761757619,1020.67261741533,427.924578293076,383.125066926887,230.058907253901,796.200697976944,377.641466815936,142.992039579552,81.8339002397632,238.610520249297,21.5898699592821,3.9603969156849,27.1133205821684,17.7700946470802,20.7326335609152,16.6198176124352,90.2,48343,18.3,9.5,410.6,23.05,42.69,0.1214,11.2135004026896,18.8316382910978,15.2,9.4,16.18,41.72,43.12,38.86,39.98,53.93,49.78,0.00408222772998979,1,0.166823495017961,677,747,690,605,665,604,321,111756,362,"Illinois","St. Clair"
"27","1.995",0,0,"29510",208906,207342.6,50.9101744188443,45.1659167395438,3.17442131699786,47.4656474581468,154.013839128176,303.061269224601,726.493005312798,1345.72870690312,513.642637837087,525.70666612344,265.402545048943,859.227686593413,438.074217340628,244.957014869838,70.4344030231626,303.041941538065,39.9871246958331,7.24159371012873,35.7827747276071,16.6125273958997,17.9575331615054,15.0978916593652,100,34346,27.2,9.1,5157.5,28.75,16.19,0.1191,5.86936586101201,32.3630093965127,21.9,11.3,17.97,46.17,49.33,36.29,44.96,52.59,45.27,0.00277280095554987,0,0.294887316870883,1068,1055,1137,1080,1034,1026,363,105380,621,"Missouri","St. Louis City"
